envio_id,pedido_id,fecha_envio,fecha_entrega_estimada,transportista,numero_seguimiento,costo_envio,estado_id,notas
56,1843,2023-04-09 17:45:09,2023-04-16 17:45:09,Correos,TRACK0056,43.39,5,Nota 56
57,874,2024-03-23 20:36:44,2024-03-27 20:36:44,UPS,TRACK0057,70.9,2,Nota 57
58,2605,2025-03-10 01:17:07,2025-03-16 01:17:07,Correos,TRACK0058,82.69,3,Nota 58
59,1796,2024-05-24 19:37:51,2024-05-25 19:37:51,UPS,TRACK0059,85.6,4,Nota 59
60,473,2025-04-10 22:13:24,2025-04-14 22:13:24,DHL,TRACK0060,20.23,2,Nota 60
61,924,2024-01-20 16:18:57,2024-01-24 16:18:57,Correos,TRACK0061,16.46,3,Nota 61
62,909,2023-06-26 05:58:40,2023-07-02 05:58:40,DHL,TRACK0062,38.37,5,Nota 62
63,2503,2023-11-03 05:04:20,2023-11-08 05:04:20,DHL,TRACK0063,12.29,1,Nota 63
64,2999,2024-12-08 02:27:28,2024-12-11 02:27:28,Correos,TRACK0064,25.37,5,Nota 64
65,1802,2025-07-08 04:28:23,2025-07-15 04:28:23,Correos,TRACK0065,76.09,1,Nota 65
66,1193,2023-05-09 19:17:13,2023-05-13 19:17:13,Correos,TRACK0066,56.87,2,Nota 66
67,2209,2025-04-02 06:20:33,2025-04-06 06:20:33,FedEx,TRACK0067,12.5,1,Nota 67
68,550,2025-03-09 06:13:20,2025-03-11 06:13:20,FedEx,TRACK0068,85.39,5,Nota 68
69,2426,2024-12-17 03:04:56,2024-12-22 03:04:56,Correos,TRACK0069,68.83,1,Nota 69
70,777,2025-06-10 02:16:50,2025-06-15 02:16:50,FedEx,TRACK0070,84.85,5,Nota 70
71,1251,2024-11-05 16:30:34,2024-11-10 16:30:34,Correos,TRACK0071,57.16,3,Nota 71
72,2636,2023-03-08 18:49:25,2023-03-12 18:49:25,Correos,TRACK0072,84.26,5,Nota 72
73,2907,2023-03-20 18:24:09,2023-03-29 18:24:09,Correos,TRACK0073,99.36,2,Nota 73
74,1454,2024-06-02 01:14:32,2024-06-09 01:14:32,FedEx,TRACK0074,97.02,1,Nota 74
75,1498,2024-11-25 23:38:29,2024-11-29 23:38:29,FedEx,TRACK0075,11.57,4,Nota 75
76,1422,2023-08-25 23:51:25,2023-09-04 23:51:25,UPS,TRACK0076,75.39,4,Nota 76
77,50,2024-09-24 11:20:41,2024-10-02 11:20:41,UPS,TRACK0077,25.56,2,Nota 77
78,2036,2024-08-30 23:20:20,2024-09-04 23:20:20,UPS,TRACK0078,70.33,5,Nota 78
79,112,2024-04-01 01:02:44,2024-04-09 01:02:44,UPS,TRACK0079,77.23,3,Nota 79
80,2569,2023-09-05 19:24:30,2023-09-09 19:24:30,Correos,TRACK0080,73.57,2,Nota 80
81,638,2023-03-24 21:37:10,2023-03-27 21:37:10,UPS,TRACK0081,22.66,3,Nota 81
82,2398,2025-05-07 21:41:53,2025-05-15 21:41:53,DHL,TRACK0082,90.71,1,Nota 82
83,614,2023-08-25 10:59:20,2023-08-30 10:59:20,DHL,TRACK0083,70.98,4,Nota 83
84,2041,2023-01-21 07:00:56,2023-01-30 07:00:56,FedEx,TRACK0084,30.75,2,Nota 84
85,2198,2024-07-21 10:52:39,2024-07-25 10:52:39,DHL,TRACK0085,34.76,1,Nota 85
86,347,2024-12-31 06:00:39,2025-01-02 06:00:39,Correos,TRACK0086,49.14,2,Nota 86
87,1832,2025-05-07 23:33:43,2025-05-09 23:33:43,UPS,TRACK0087,11.3,1,Nota 87
88,2866,2023-11-30 08:48:49,2023-12-07 08:48:49,FedEx,TRACK0088,22.41,5,Nota 88
89,1310,2025-02-16 14:15:47,2025-02-25 14:15:47,DHL,TRACK0089,82.64,1,Nota 89
90,2091,2024-04-08 15:02:01,2024-04-15 15:02:01,FedEx,TRACK0090,97.51,1,Nota 90
91,916,2024-08-19 20:44:05,2024-08-25 20:44:05,Correos,TRACK0091,81.33,2,Nota 91
92,1493,2024-03-06 18:04:53,2024-03-11 18:04:53,Correos,TRACK0092,32.9,1,Nota 92
93,300,2024-03-30 20:58:55,2024-04-06 20:58:55,FedEx,TRACK0093,19.59,3,Nota 93
94,1115,2025-09-11 17:11:35,2025-09-20 17:11:35,DHL,TRACK0094,29.3,5,Nota 94
95,1679,2024-08-18 23:47:16,2024-08-26 23:47:16,Correos,TRACK0095,55.79,5,Nota 95
96,2514,2025-10-21 23:23:41,2025-10-24 23:23:41,Correos,TRACK0096,68.84,1,Nota 96
97,674,2023-12-23 09:33:41,2024-01-02 09:33:41,DHL,TRACK0097,84.48,2,Nota 97
98,114,2024-04-26 23:07:28,2024-04-30 23:07:28,Correos,TRACK0098,67.66,4,Nota 98
99,2084,2025-01-15 20:39:38,2025-01-20 20:39:38,UPS,TRACK0099,95.2,2,Nota 99
100,919,2023-09-28 11:03:02,2023-10-05 11:03:02,UPS,TRACK0100,33.62,5,Nota 100
101,959,2025-07-15 06:26:40,2025-07-17 06:26:40,UPS,TRACK0101,52.54,4,Nota 101
102,936,2023-09-29 12:11:17,2023-09-30 12:11:17,DHL,TRACK0102,48.82,5,Nota 102
103,1644,2025-04-23 01:23:39,2025-04-26 01:23:39,UPS,TRACK0103,44.06,2,Nota 103
104,349,2023-08-08 00:38:03,2023-08-09 00:38:03,DHL,TRACK0104,59.88,5,Nota 104
105,2364,2023-02-01 05:31:39,2023-02-04 05:31:39,FedEx,TRACK0105,45.76,4,Nota 105
106,410,2024-05-27 05:01:09,2024-05-30 05:01:09,DHL,TRACK0106,11.19,3,Nota 106
107,2048,2025-09-05 09:30:40,2025-09-07 09:30:40,Correos,TRACK0107,69.16,3,Nota 107
108,1976,2023-12-19 07:39:13,2023-12-28 07:39:13,Correos,TRACK0108,63.26,5,Nota 108
109,2882,2023-11-18 03:42:47,2023-11-28 03:42:47,DHL,TRACK0109,63.78,4,Nota 109
110,1534,2023-10-08 19:06:02,2023-10-16 19:06:02,Correos,TRACK0110,9.78,3,Nota 110
111,2828,2024-12-09 12:16:22,2024-12-16 12:16:22,UPS,TRACK0111,13.63,5,Nota 111
112,265,2024-11-14 14:40:18,2024-11-21 14:40:18,UPS,TRACK0112,89.07,5,Nota 112
113,759,2024-04-21 06:59:39,2024-04-30 06:59:39,UPS,TRACK0113,60.22,1,Nota 113
114,521,2023-12-29 14:42:30,2024-01-07 14:42:30,FedEx,TRACK0114,50.57,3,Nota 114
115,529,2025-08-17 06:01:38,2025-08-21 06:01:38,Correos,TRACK0115,67.31,3,Nota 115
116,625,2024-11-14 05:29:59,2024-11-20 05:29:59,FedEx,TRACK0116,85.29,1,Nota 116
117,137,2025-06-13 08:02:28,2025-06-17 08:02:28,UPS,TRACK0117,85.47,3,Nota 117
118,1109,2024-05-12 15:18:22,2024-05-15 15:18:22,DHL,TRACK0118,15.12,1,Nota 118
119,926,2024-08-01 23:29:37,2024-08-03 23:29:37,FedEx,TRACK0119,36.72,2,Nota 119
120,147,2023-08-22 21:09:41,2023-08-29 21:09:41,UPS,TRACK0120,36.24,5,Nota 120
121,276,2024-04-04 01:34:52,2024-04-14 01:34:52,UPS,TRACK0121,26.7,2,Nota 121
122,2979,2025-10-20 09:51:35,2025-10-29 09:51:35,UPS,TRACK0122,81.42,1,Nota 122
123,315,2023-11-29 10:03:01,2023-12-06 10:03:01,FedEx,TRACK0123,7.91,2,Nota 123
124,466,2025-10-08 15:52:33,2025-10-16 15:52:33,DHL,TRACK0124,75.34,2,Nota 124
125,1097,2025-10-25 16:19:59,2025-10-31 16:19:59,UPS,TRACK0125,19.76,1,Nota 125
126,2390,2025-08-01 08:26:56,2025-08-06 08:26:56,FedEx,TRACK0126,81.44,5,Nota 126
127,2778,2024-11-22 22:28:16,2024-11-24 22:28:16,FedEx,TRACK0127,46.18,3,Nota 127
128,1464,2023-12-07 12:35:25,2023-12-12 12:35:25,Correos,TRACK0128,96.0,1,Nota 128
129,1251,2024-06-02 14:32:26,2024-06-10 14:32:26,Correos,TRACK0129,97.19,3,Nota 129
130,359,2023-09-01 15:23:10,2023-09-06 15:23:10,Correos,TRACK0130,18.95,5,Nota 130
131,1596,2023-08-23 07:59:17,2023-09-01 07:59:17,DHL,TRACK0131,19.14,5,Nota 131
132,976,2023-02-22 03:16:07,2023-02-27 03:16:07,UPS,TRACK0132,8.34,3,Nota 132
133,2852,2025-12-20 03:45:49,2025-12-23 03:45:49,FedEx,TRACK0133,13.38,5,Nota 133
134,565,2025-01-11 04:05:32,2025-01-16 04:05:32,DHL,TRACK0134,11.69,1,Nota 134
135,759,2025-09-15 17:58:39,2025-09-16 17:58:39,DHL,TRACK0135,39.34,4,Nota 135
136,2540,2024-09-23 03:10:38,2024-10-01 03:10:38,DHL,TRACK0136,59.02,4,Nota 136
137,917,2025-03-05 04:02:22,2025-03-08 04:02:22,FedEx,TRACK0137,7.31,4,Nota 137
138,749,2023-07-14 06:19:25,2023-07-15 06:19:25,UPS,TRACK0138,66.75,2,Nota 138
139,1540,2025-09-07 12:55:01,2025-09-13 12:55:01,UPS,TRACK0139,40.49,1,Nota 139
140,2575,2023-03-14 08:19:30,2023-03-19 08:19:30,FedEx,TRACK0140,89.87,3,Nota 140
141,2489,2024-07-25 00:51:53,2024-07-31 00:51:53,FedEx,TRACK0141,58.48,2,Nota 141
142,2143,2025-03-09 06:24:53,2025-03-12 06:24:53,Correos,TRACK0142,41.56,1,Nota 142
143,1314,2025-07-03 09:59:38,2025-07-04 09:59:38,UPS,TRACK0143,24.2,2,Nota 143
144,2775,2024-09-06 11:42:03,2024-09-14 11:42:03,DHL,TRACK0144,25.53,3,Nota 144
145,2053,2023-01-12 01:09:43,2023-01-19 01:09:43,UPS,TRACK0145,98.21,4,Nota 145
146,121,2023-09-17 03:31:05,2023-09-23 03:31:05,FedEx,TRACK0146,85.17,2,Nota 146
147,2849,2024-06-25 00:41:20,2024-07-01 00:41:20,UPS,TRACK0147,85.83,4,Nota 147
148,247,2025-12-25 13:47:47,2025-12-30 13:47:47,UPS,TRACK0148,96.97,1,Nota 148
149,2129,2025-07-29 16:59:27,2025-08-05 16:59:27,FedEx,TRACK0149,21.27,1,Nota 149
150,1573,2023-04-18 04:16:21,2023-04-24 04:16:21,UPS,TRACK0150,53.95,4,Nota 150
151,2557,2023-08-23 18:51:30,2023-08-26 18:51:30,DHL,TRACK0151,28.38,2,Nota 151
152,1542,2024-10-31 06:21:16,2024-11-08 06:21:16,DHL,TRACK0152,22.67,1,Nota 152
153,894,2024-09-02 19:26:14,2024-09-12 19:26:14,DHL,TRACK0153,45.77,1,Nota 153
154,1540,2024-10-24 00:52:30,2024-10-31 00:52:30,Correos,TRACK0154,73.27,1,Nota 154
155,1521,2025-12-14 09:29:56,2025-12-21 09:29:56,UPS,TRACK0155,80.5,3,Nota 155
156,15,2024-09-10 15:37:59,2024-09-12 15:37:59,UPS,TRACK0156,11.57,1,Nota 156
157,2497,2025-06-30 04:57:18,2025-07-01 04:57:18,FedEx,TRACK0157,27.66,5,Nota 157
158,1359,2023-06-16 07:05:11,2023-06-17 07:05:11,Correos,TRACK0158,59.9,1,Nota 158
159,351,2024-10-15 08:42:48,2024-10-24 08:42:48,DHL,TRACK0159,81.61,5,Nota 159
160,290,2023-07-05 19:08:25,2023-07-14 19:08:25,Correos,TRACK0160,88.04,2,Nota 160
161,1077,2024-07-07 03:18:12,2024-07-14 03:18:12,Correos,TRACK0161,45.98,5,Nota 161
162,2186,2023-06-18 13:31:25,2023-06-19 13:31:25,Correos,TRACK0162,51.17,5,Nota 162
163,2035,2024-10-28 19:39:17,2024-11-03 19:39:17,UPS,TRACK0163,57.89,3,Nota 163
164,1175,2025-10-24 20:41:49,2025-10-26 20:41:49,FedEx,TRACK0164,40.42,1,Nota 164
165,1765,2025-01-04 16:32:12,2025-01-11 16:32:12,Correos,TRACK0165,65.11,5,Nota 165
166,2374,2024-01-05 15:55:41,2024-01-14 15:55:41,Correos,TRACK0166,88.65,4,Nota 166
167,763,2024-04-13 05:02:08,2024-04-20 05:02:08,Correos,TRACK0167,82.33,1,Nota 167
168,1737,2024-02-13 14:33:44,2024-02-18 14:33:44,FedEx,TRACK0168,57.98,2,Nota 168
169,1678,2023-11-11 14:13:28,2023-11-14 14:13:28,DHL,TRACK0169,20.59,1,Nota 169
170,2026,2025-05-05 16:27:06,2025-05-12 16:27:06,FedEx,TRACK0170,88.44,2,Nota 170
171,1837,2023-03-12 07:31:28,2023-03-15 07:31:28,UPS,TRACK0171,96.75,2,Nota 171
172,1605,2023-11-21 08:18:09,2023-11-22 08:18:09,UPS,TRACK0172,74.43,3,Nota 172
173,1129,2023-08-17 22:13:23,2023-08-22 22:13:23,Correos,TRACK0173,29.98,4,Nota 173
174,2536,2025-12-27 20:58:46,2025-12-30 20:58:46,Correos,TRACK0174,33.06,2,Nota 174
175,2549,2025-02-25 00:24:59,2025-02-26 00:24:59,UPS,TRACK0175,73.87,3,Nota 175
176,1258,2024-08-14 21:53:21,2024-08-15 21:53:21,UPS,TRACK0176,91.11,5,Nota 176
177,1361,2023-05-03 11:41:53,2023-05-12 11:41:53,FedEx,TRACK0177,51.61,3,Nota 177
178,473,2025-04-30 09:28:56,2025-05-07 09:28:56,FedEx,TRACK0178,46.7,4,Nota 178
179,1041,2025-10-24 00:10:42,2025-11-01 00:10:42,UPS,TRACK0179,91.16,4,Nota 179
180,153,2025-03-14 18:59:16,2025-03-19 18:59:16,FedEx,TRACK0180,34.39,1,Nota 180
181,127,2024-05-10 02:08:34,2024-05-13 02:08:34,DHL,TRACK0181,86.68,3,Nota 181
182,1467,2023-12-04 02:05:19,2023-12-05 02:05:19,DHL,TRACK0182,9.54,3,Nota 182
183,105,2024-11-25 06:34:48,2024-12-04 06:34:48,DHL,TRACK0183,71.1,2,Nota 183
184,1209,2024-09-10 21:45:43,2024-09-11 21:45:43,FedEx,TRACK0184,48.11,4,Nota 184
185,1594,2024-06-18 00:34:05,2024-06-25 00:34:05,DHL,TRACK0185,63.71,3,Nota 185
186,684,2024-12-21 09:52:26,2024-12-31 09:52:26,FedEx,TRACK0186,56.21,2,Nota 186
187,704,2023-01-25 10:49:40,2023-01-28 10:49:40,FedEx,TRACK0187,9.28,5,Nota 187
188,549,2025-03-12 03:54:39,2025-03-13 03:54:39,FedEx,TRACK0188,41.13,3,Nota 188
189,876,2025-01-24 23:08:15,2025-01-25 23:08:15,DHL,TRACK0189,32.05,5,Nota 189
190,1741,2023-03-09 23:38:11,2023-03-19 23:38:11,FedEx,TRACK0190,17.86,1,Nota 190
191,2976,2024-11-18 01:25:23,2024-11-22 01:25:23,UPS,TRACK0191,5.42,3,Nota 191
192,2499,2025-08-05 23:57:17,2025-08-06 23:57:17,FedEx,TRACK0192,93.68,4,Nota 192
193,2413,2023-09-05 08:47:09,2023-09-08 08:47:09,Correos,TRACK0193,14.3,4,Nota 193
194,333,2023-07-12 19:54:25,2023-07-16 19:54:25,DHL,TRACK0194,79.52,3,Nota 194
195,953,2023-05-30 22:49:48,2023-06-01 22:49:48,FedEx,TRACK0195,39.6,4,Nota 195
196,1786,2024-11-06 22:45:10,2024-11-11 22:45:10,FedEx,TRACK0196,80.08,3,Nota 196
197,659,2024-06-21 04:38:50,2024-06-25 04:38:50,UPS,TRACK0197,35.03,1,Nota 197
198,2351,2025-09-25 04:33:04,2025-10-02 04:33:04,UPS,TRACK0198,91.68,2,Nota 198
199,2320,2025-10-25 04:02:56,2025-11-01 04:02:56,FedEx,TRACK0199,85.94,5,Nota 199
200,427,2023-12-22 10:53:47,2023-12-24 10:53:47,Correos,TRACK0200,6.42,3,Nota 200
201,822,2023-01-26 23:03:03,2023-01-31 23:03:03,UPS,TRACK0201,80.39,1,Nota 201
202,1811,2023-04-10 16:13:43,2023-04-13 16:13:43,DHL,TRACK0202,55.96,5,Nota 202
203,2389,2024-11-20 10:03:09,2024-11-23 10:03:09,UPS,TRACK0203,8.23,5,Nota 203
204,2319,2025-04-20 06:31:59,2025-04-28 06:31:59,Correos,TRACK0204,33.46,2,Nota 204
205,2267,2023-03-04 07:55:30,2023-03-08 07:55:30,Correos,TRACK0205,31.54,5,Nota 205
206,2601,2024-05-05 02:50:42,2024-05-07 02:50:42,UPS,TRACK0206,14.81,5,Nota 206
207,1708,2025-11-25 22:52:58,2025-11-27 22:52:58,Correos,TRACK0207,35.5,2,Nota 207
208,1005,2023-05-06 11:15:40,2023-05-12 11:15:40,Correos,TRACK0208,25.69,3,Nota 208
209,1467,2023-12-16 17:30:12,2023-12-24 17:30:12,UPS,TRACK0209,6.49,5,Nota 209
210,2601,2025-12-03 01:51:49,2025-12-12 01:51:49,DHL,TRACK0210,41.3,3,Nota 210
211,1686,2024-12-07 05:29:54,2024-12-10 05:29:54,UPS,TRACK0211,48.32,4,Nota 211
212,2888,2024-05-18 04:40:27,2024-05-28 04:40:27,UPS,TRACK0212,33.21,2,Nota 212
213,2041,2023-02-10 20:05:59,2023-02-18 20:05:59,Correos,TRACK0213,22.48,4,Nota 213
214,173,2024-05-30 12:31:12,2024-06-01 12:31:12,DHL,TRACK0214,49.42,1,Nota 214
215,813,2025-06-28 06:44:27,2025-07-03 06:44:27,UPS,TRACK0215,11.75,3,Nota 215
216,2057,2025-10-30 19:11:37,2025-11-05 19:11:37,DHL,TRACK0216,13.16,4,Nota 216
217,1623,2025-12-18 23:50:27,2025-12-21 23:50:27,Correos,TRACK0217,82.95,2,Nota 217
218,1218,2025-01-25 17:37:04,2025-02-01 17:37:04,Correos,TRACK0218,53.22,1,Nota 218
219,235,2024-05-03 17:05:19,2024-05-11 17:05:19,UPS,TRACK0219,21.48,2,Nota 219
220,700,2024-01-30 18:59:55,2024-02-08 18:59:55,DHL,TRACK0220,51.61,5,Nota 220
221,2210,2023-04-04 00:30:47,2023-04-05 00:30:47,DHL,TRACK0221,63.66,5,Nota 221
222,1723,2024-03-26 16:36:01,2024-03-28 16:36:01,UPS,TRACK0222,24.16,1,Nota 222
223,2904,2023-01-02 03:25:25,2023-01-04 03:25:25,DHL,TRACK0223,21.75,5,Nota 223
224,2208,2025-12-21 10:01:00,2025-12-26 10:01:00,Correos,TRACK0224,25.8,3,Nota 224
225,1311,2023-12-17 02:04:07,2023-12-27 02:04:07,Correos,TRACK0225,6.92,5,Nota 225
226,305,2024-12-16 16:43:23,2024-12-25 16:43:23,DHL,TRACK0226,58.19,3,Nota 226
227,828,2024-12-04 12:23:21,2024-12-14 12:23:21,UPS,TRACK0227,18.35,3,Nota 227
228,2183,2024-11-05 08:50:57,2024-11-09 08:50:57,Correos,TRACK0228,13.39,1,Nota 228
229,2860,2024-08-17 23:16:54,2024-08-25 23:16:54,Correos,TRACK0229,52.88,5,Nota 229
230,2508,2023-07-17 00:26:16,2023-07-20 00:26:16,UPS,TRACK0230,39.09,3,Nota 230
231,2822,2023-02-24 15:53:29,2023-02-25 15:53:29,DHL,TRACK0231,39.94,5,Nota 231
232,263,2025-06-23 04:56:24,2025-07-03 04:56:24,FedEx,TRACK0232,80.09,4,Nota 232
233,2985,2024-12-31 22:06:58,2025-01-03 22:06:58,UPS,TRACK0233,15.09,3,Nota 233
234,2536,2023-06-10 05:12:42,2023-06-17 05:12:42,FedEx,TRACK0234,66.49,3,Nota 234
235,1686,2025-07-08 11:19:57,2025-07-13 11:19:57,FedEx,TRACK0235,61.78,3,Nota 235
236,1191,2024-07-26 09:11:14,2024-07-31 09:11:14,FedEx,TRACK0236,15.9,4,Nota 236
237,2852,2023-11-30 01:06:31,2023-12-05 01:06:31,DHL,TRACK0237,27.91,1,Nota 237
238,1690,2025-04-18 19:29:00,2025-04-20 19:29:00,DHL,TRACK0238,41.68,4,Nota 238
239,2703,2025-11-02 12:20:30,2025-11-06 12:20:30,UPS,TRACK0239,7.62,1,Nota 239
240,543,2025-02-18 15:59:50,2025-02-26 15:59:50,DHL,TRACK0240,62.25,2,Nota 240
241,2681,2023-09-26 19:57:10,2023-10-06 19:57:10,Correos,TRACK0241,72.27,1,Nota 241
242,303,2024-02-23 11:47:12,2024-02-28 11:47:12,Correos,TRACK0242,5.42,1,Nota 242
243,1381,2025-06-14 08:47:22,2025-06-21 08:47:22,DHL,TRACK0243,70.88,5,Nota 243
244,401,2024-03-25 20:18:47,2024-03-26 20:18:47,UPS,TRACK0244,43.02,3,Nota 244
245,1446,2024-05-24 15:47:13,2024-05-27 15:47:13,FedEx,TRACK0245,28.12,3,Nota 245
246,1979,2025-01-10 12:06:04,2025-01-13 12:06:04,FedEx,TRACK0246,57.52,4,Nota 246
247,1226,2025-01-13 05:23:14,2025-01-17 05:23:14,FedEx,TRACK0247,15.48,2,Nota 247
248,313,2023-03-13 14:36:28,2023-03-14 14:36:28,DHL,TRACK0248,48.93,2,Nota 248
249,2389,2024-11-16 13:00:10,2024-11-18 13:00:10,FedEx,TRACK0249,91.67,1,Nota 249
250,2235,2025-11-03 06:49:20,2025-11-10 06:49:20,Correos,TRACK0250,40.52,1,Nota 250
251,1313,2023-05-17 07:35:19,2023-05-20 07:35:19,Correos,TRACK0251,95.87,5,Nota 251
252,1026,2024-04-21 10:00:42,2024-04-23 10:00:42,DHL,TRACK0252,54.34,1,Nota 252
253,1386,2023-07-15 12:08:24,2023-07-18 12:08:24,UPS,TRACK0253,10.65,2,Nota 253
254,2053,2025-03-25 08:01:19,2025-03-31 08:01:19,UPS,TRACK0254,40.41,1,Nota 254
255,1444,2025-06-17 20:43:09,2025-06-21 20:43:09,UPS,TRACK0255,17.51,3,Nota 255
256,938,2024-10-08 08:51:04,2024-10-14 08:51:04,UPS,TRACK0256,68.83,3,Nota 256
257,785,2023-06-16 05:44:04,2023-06-26 05:44:04,UPS,TRACK0257,96.5,1,Nota 257
